,DS,Data,601-T,602-T,603-T,604-T,701-T,702-T,703-T,704-T,801-M,802-T,803-T,804-T,901-M,902-M,903-M,904-T,905-T,1001-M,1002-M,1003-T,1004-T,1005-M,1006-T,2001-M,2002-M,2003-M,2004-M,2005-M,2006-T,3001-M,3002-M,3003-M,3004-M,3005-T,NEJA I-01,NEJA I-02,NEJA II-01,NEJA II-02,NEJA III-01,NEJA III-02,NEJA IV-01,NEJA IV-02
78,qui,2022-06-02,32.0,30.0,28.0,17.0,34.0,33.0,30.0,28.0,19.0,36.0,33.0,35.0,37.0,33.0,29.0,33.0,30.0,40.0,33.0,34.0,34.0,32.0,32.0,26.0,33.0,,30.0,23.0,21.0,30.0,31.0,36.0,29.0,15.0,,,,,,,,
79,sex,2022-06-03,25.0,26.0,27.0,16.0,29.0,34.0,32.0,24.0,,32.0,24.0,36.0,36.0,27.0,31.0,34.0,28.0,32.0,,22.0,,28.0,23.0,20.0,9.0,,32.0,24.0,20.0,25.0,31.0,26.0,,12.0,,,,,,,,
80,seg,2022-06-06,30.0,23.0,24.0,21.0,31.0,38.0,26.0,27.0,29.0,34.0,29.0,34.0,36.0,29.0,30.0,37.0,30.0,34.0,30.0,21.0,31.0,30.0,32.0,24.0,33.0,29.0,31.0,22.0,21.0,35.0,36.0,29.0,26.0,17.0,,,,,,,,
81,ter,2022-06-07,32.0,28.0,30.0,18.0,35.0,39.0,34.0,30.0,34.0,32.0,29.0,36.0,40.0,34.0,40.0,33.0,31.0,39.0,33.0,36.0,28.0,35.0,30.0,25.0,30.0,35.0,39.0,29.0,22.0,40.0,40.0,40.0,27.0,17.0,,,,,,,,
82,qua,2022-06-08,29.0,24.0,32.0,19.0,34.0,36.0,36.0,29.0,,,31.0,38.0,,,,32.0,28.0,37.0,33.0,30.0,28.0,30.0,,27.0,25.0,27.0,33.0,29.0,,31.0,36.0,32.0,,,,,,,,,,
83,qui,2022-06-09,28.0,27.0,32.0,17.0,36.0,37.0,32.0,32.0,31.0,36.0,43.0,34.0,39.0,31.0,34.0,35.0,33.0,37.0,23.0,23.0,,27.0,29.0,28.0,28.0,27.0,30.0,31.0,23.0,,,34.0,27.0,11.0,,,,,,,,
84,sex,2022-06-10,23.0,26.0,24.0,18.0,34.0,35.0,31.0,24.0,,32.0,34.0,35.0,32.0,34.0,35.0,34.0,28.0,33.0,,26.0,30.0,23.0,19.0,26.0,30.0,31.0,29.0,25.0,7.0,30.0,28.0,24.0,24.0,11.0,,,,,,,,
85,ter,2022-06-14,29.0,28.0,23.0,14.0,27.0,36.0,30.0,23.0,,34.0,24.0,32.0,36.0,26.0,14.0,33.0,27.0,39.0,13.0,36.0,38.0,28.0,29.0,,16.0,35.0,,21.0,20.0,22.0,40.0,,,15.0,,,,,,,,
86,qua,2022-06-15,27.0,24.0,24.0,16.0,30.0,28.0,,20.0,20.0,38.0,28.0,32.0,37.0,21.0,30.0,29.0,24.0,40.0,9.0,35.0,23.0,34.0,,37.0,37.0,24.0,19.0,,19.0,22.0,39.0,23.0,,10.0,,,,,,,,
87,seg,2022-06-20,31.0,,27.0,20.0,32.0,32.0,,28.0,34.0,35.0,33.0,,36.0,28.0,28.0,34.0,30.0,34.0,30.0,23.0,27.0,24.0,28.0,29.0,21.0,32.0,32.0,29.0,18.0,35.0,33.0,37.0,27.0,14.0,,,,,,,,
88,ter,2022-06-21,34.0,34.0,27.0,18.0,37.0,32.0,34.0,29.0,31.0,30.0,36.0,37.0,35.0,27.0,32.0,35.0,31.0,36.0,32.0,29.0,31.0,32.0,25.0,29.0,29.0,32.0,36.0,28.0,18.0,32.0,30.0,28.0,27.0,16.0,,,,,,,,
89,qua,2022-06-22,32.0,32.0,29.0,18.0,38.0,35.0,34.0,29.0,30.0,33.0,33.0,38.0,31.0,29.0,27.0,32.0,29.0,34.0,30.0,26.0,28.0,30.0,24.0,31.0,31.0,33.0,29.0,24.0,20.0,34.0,36.0,32.0,34.0,14.0,,,,,,,,
90,qui,2022-06-23,31.0,27.0,33.0,18.0,33.0,31.0,34.0,29.0,35.0,31.0,31.0,31.0,37.0,26.0,33.0,38.0,32.0,37.0,29.0,26.0,28.0,33.0,33.0,32.0,28.0,34.0,23.0,24.0,21.0,30.0,31.0,35.0,29.0,14.0,,,,,,,,
91,sex,2022-06-24,22.0,29.0,26.0,19.0,32.0,34.0,31.0,28.0,30.0,30.0,,33.0,30.0,25.0,27.0,33.0,33.0,30.0,18.0,26.0,,31.0,23.0,27.0,27.0,25.0,30.0,27.0,16.0,31.0,32.0,32.0,21.0,16.0,,,,,,,,
92,seg,2022-06-27,35.0,31.0,32.0,20.0,39.0,31.0,36.0,32.0,37.0,36.0,36.0,39.0,40.0,33.0,37.0,39.0,36.0,41.0,38.0,33.0,34.0,34.0,34.0,35.0,36.0,36.0,37.0,30.0,24.0,39.0,37.0,38.0,,18.0,,,,,,,,
